reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
Amazing,One word Amazing phone,adosh dixit,7 November 2018,5.0 out of 5 stars
Pixel and camera quality issues,Camera pics are not having good quality. Pixel is not clear,Siddhant Mehta,7 November 2018,1.0 out of 5 stars
Not worth to buy 6T,One plus 6 was costing 28k during the big billion sale and 6T costs 38k. It is not worth to spend 10 k just for some small improvements.,abdulkadir garari,4 November 2018,1.0 out of 5 stars
Perfect in all aspects!,"Well, as they claim, it is a flagship killer.
Superfast charging, barely takes and hour to charge almost full. Speaker is loud enough.
Worth the money. OnePlus also proved their worth over the years by providing timely android updates for a long time. So this phone can be used for atleast 5 years without any worries.
Totally loved it.
Got it delivered in less than 12 hours, all credit goes to Amazon.in for that.",Sreejit Sreedevan,9 November 2018,5.0 out of 5 stars
THIRD CLASS SERVICE FROM AMAZON,"I GOT A DEFECT PRODUCT WITH VERY LESS BATTERY LIFE FOR HALF DAY,TRIED TO CALL MANY TIMES AMAZON AND THEY HAVE DENIED TO REPLACE OR RETURN THE PRODUCT EVEN IT IS IN REPLACEMENT PERIOD. ONEPLUS COPIES EVERYTHING FROM VIVO V11 PHONE I THINK THEY SHOULD ALSO COPY BATTERY FROM MI AND ASUS. WASTED 38000. IF U HAVE TO WASTE 38000 THEN GO FOR IT. IT NOT A FLAGSHIP KILLER ITS YOUR DREAMS KILLER PHONE. AND THEIR TAGE LINE IS RIGHT THEY WILL NEVER LET U SETTLE. PLEASE DONT BUY ONEPLUS PHONE AND DONT BUY ANY PHONE FROM AMAZON",Amazon Customer,9 November 2018,1.0 out of 5 stars
OnePlus-6T Edge-to-Edge 6D Tempered-...,,,,₹ 950.00 (63%)
Broken phone,I got broken phone,Yash,9 November 2018,1.0 out of 5 stars
Quite Satisfied,Great for all specs except for the battery life. Battery drains faster than expected. Without that totally worth it...,Amazon Customer,10 November 2018,5.0 out of 5 stars
NO WAY GOING TO BE A CUSTOMER OF A COMPANY (Oneplus6T) THAT CANNOT GET NEW CUSTOMER SERVICE CORRECT,"Two days back I received 6T and had many problems with the mobile
The mobile is getting heated when it's on camera mode or doing nothing., and while using mobile it's getting struck.. I don't think I got an original set, I'm sure it's a duplicate set.
Please for god sake please exchange my mobile with a new one",Regidi Mahesh Dora,7 November 2018,1.0 out of 5 stars
"Exuberance, an adjective for 6T.","Impressive at this price point. Only disappointment is absence 3.5 mm headphone jack. Had Oneplus supplied bullets headphone as default accessory, it would have been a complete package. Apple, learn from it, else your days are numbered.",Saeed Ansari,4 November 2018,5.0 out of 5 stars
yvery bad in battert,mobile is very good and fast.but battery is draining like anythg..within two days of usage i found battery consumption is more than my old phone redmi note4,Gunasundhari,7 November 2018,1.0 out of 5 stars
