reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
Flagship killer & value for money,"First of all I would like to share the seller feedback, the delivery was awful by Amazon.
But it was overruled by Oneplus, means oh my god, what a phone, awesome phone , nicely packed.
Display 5 *
Camera 5 *
Battery 5 *
Value 5 *
Interface 5 *
Overall 5 *
Most important part is migration of data from old to new, thanks to oneplus switch app, oh it's too cool.
My overall experience with first Oneplus is seems so good.
Need some improvement , for e.g. music player and video player is missing.
Let me use for few more months and then again revised or repost the review.",Manish Bhavsar,6 November 2018,4.0 out of 5 stars
Best budget smartphone with the best specifications & the best performance & speed till now,"Built quality is very nice , premium feel , but little slippery with the mirror black back.. Always safe side to use with case.. The transparent case that one plus is providing in the box is good..
Camera is really great. Both rear & front... Selfie potrait is really great...
Device performance is something very unique in one plus 6t. I think this is the fastest one till now...
Battery backup up is really good. It easily lasts for one & half day with moderate usage..
Face unlock is simply too fast..
Under display fingerprint is also very good.
The tear drop notch really attractive..
Overall it is the best budget smartphone to buy for 128gb..",chandi prasad,9 November 2018,5.0 out of 5 stars
Good performance at a premium price,"Awesome product and it's performance. There was no lag while playing any high graphic game. No heating issues at all till date with continued use of handset for watching movies, playing games or music for long hours.
Battery is also a killer performer. Easy one full day backup with heavy to super heavy useage. For only calls and limited usage battery lasts a good 1.5 days.
There are some drawbacks as any other product. The 6T has one strange problem, whenever the WiFi hotspot is switched On with Bluetooth headset connected in parallel, there is very severe interference of signals and Bluetooth audio gets disrupted. any update available to fix this?
Also the handset isn't suitable for single handed use.
Overall, 4.5 stars for this handset Shud be good.",Shrivardhan K.,12 November 2018,4.0 out of 5 stars
Camera flash,"Camera flash is not working
Disappointed from One + 6T ....",Amazon Customer,7 November 2018,1.0 out of 5 stars
6gb and 128gb - Not Bad,"I was used Samsung , iPhone 6 &6s, redmi phones... Now one plus.. belows obesrvations from one week...
1. Camera quality not up to the mark..
2. Finger print sometimes not working...
3. Hanged one time..
4. Mobile more weight compared with Samsung
5. Slow motion video not good...
6. Night scape mode... Nothing special
7. Flash not good..
1.Face detection good
2. Battery life awesome
3. Speed - of course 6gb ram... It should be..
4. Notch - special attraction compared with other mobiles.
5. Video quality just okay
6. Full screen and looking good",Narayana Rao,10 November 2018,4.0 out of 5 stars
Overhype not meeting expectations,OLED whites are washed in low light. Earpiece is a bad design and needs proper ear alligning to hear the sound while on call. The bezeless edges creates accidental touch and phone operations and needs some smart edge touch prevention algorithms. The camera is not that great as hyped. The finger print touch is unreliable. Overall it's not a value for money. Should have been priced at around 25k₹ and addressing above issues.,Akash,13 November 2018,1.0 out of 5 stars
Awesome phone with good battery life and speed.. Really feel like unlock the speed,"It's being more then 20 days since I purchased this phone, Awesome phone with superb speed, battery life is also good after continue usage it work for around 15-20hours still it is more then 30% face unlock is little bit more fast then finger print unlock. Haven't faced any kind of issue as of now but sometime there is call issue using jio sim but don't know is it sim issue or phone issue. Overall the phone is awesome.",Priyank,24 November 2018,5.0 out of 5 stars
ONEPLUS 6T HONEST AND BEST REVIEW,"Guys guys guys !!!!
Trust me this is a beast one of the most premium and the most powerful phone till now.
Yaa i completely understand that price is bit higher but it is value for money
""ONEPLUS 6T""
You all can buy this beautiful fantastic beast
Now taking about phone
∆ Camera 9/10
∆ Battery 10/10 dash charger is insanely fast
∆ Design 10/10 it's very comfortable in your hand
∆ Snapdragon 845 10/10
∆ speaker 10/10 so loud and clear just in love with them
And rest all are amazing it can get smudges in back panel but that's completely negelatble
Guys don't wait just go and buy
Hope so I've helped you
Have good day and wish u all a very happy Diwali",Saurabh batham30,7 November 2018,5.0 out of 5 stars
Yet another great value for money handset from One Plus. !!,"Amazing looks, sturdy build quality as always,superb camera and android 9 based cyanogen OS,large almost notch less display. Super fast in-display finger print scanner,and best of all amazing amazon prime delivery speed( the cherry on the to..!!).
Got the top model (8+256) model in super sleek midnight black color. !! Just cant stop looking at it. Overall , a right decision to upgrade from my One Plus 5 (8+128) to this one. Kudos One Plus team and Team Amazon.",Chirag Sardhara,17 November 2018,5.0 out of 5 stars
First time user of one plus,"Excited to purchase with exchange which was smooth. No complains on that front. On using the phone for the last 12 hours, really fast and smooth with very fast processor and no lag even on multi tasking. No heating issues as such so far. Only thing that I felt could have been better was weight of the phone, which is slightly on the higher side. Will update later",Samreen,5 November 2018,4.0 out of 5 stars
Happiest purchase,"I order my new OnePlus 6t device on 1st November and it shipped fast and deliver fast in an excellent packing by Amazon , I just unboxed , I am being studying with my phone for nearly 10days then I realized that
This phone is awesome that i can ever imagine in my life , interms of looks : it's looks stunning , (build ,speed, performance like a ""bull""), price is little high in my opinion , battery is excellent compared to OnePlus 6 , in terms of camera the rear or back camera is outstanding but front camera is not that great, so guy's if you are looking for a selfie centric phone then don't choose this , else just close the eyes and buy it , finally the indisplay finger print sensor works perfectly 98 times and better than any indisplay finger print sensor in the world ,
Amazon & OnePlus fanz",Benny v.,11 November 2018,5.0 out of 5 stars
3 months extended warranty coupon code.,"1) Coupon code for use on purchase of OnePlus 6T (Mirror Black 6GB RAM + 128GB memory) from the seller #GreenMobiles - 57X9-PWYGRD-F266XU
2) Coupon code for use on purchase of OnePlus 6T (Mirror Black 6GB RAM + 128GB memory) from the seller Darshita Electronics - D7Y3-QUSK57-UJXPKZ
3) Coupon code for use on purchase of OnePlus 6T (Midnight Black 8GB RAM + 128GB memory) from any seller - KVAW-G9F7U2-FTMPKP
4) Coupon code for use on purchase of OnePlus 6T (Midnight Black 8GB RAM + 256GB memory) from any seller - K2CY-S6RARV-RMRUMM",Prabhjot Singh bhatia,10 November 2018,4.0 out of 5 stars
Killer looks with killer hardware.,"This is a great product.
Camera quality is great.
Performance is snappy.
In display fingerprint scanner is fast if you are shifting from oneplus 3 to 6t.
Display is crisp.
Only issue is with software.
Today we received OxygenOS 9.0.6
Battery is around 6 to 7 hours SOT without gaming.
With gaming like I played pubg for 2 and half hours and got SOT of around 4 hours 30 mins
Unboxing and review on Shayantan tech vids.",Shayantan tech vids,22 November 2018,5.0 out of 5 stars
Excellent Phone with superb camera and classy look,"The overall phone performance is good. Picture Quality is also awesome. Sound is also upto the mark. overall best phone to have. Night mode works excellent.. Portrait option with front and rear. Battery back up is also good not excellent.
Phone speed is also best.. The phone looks classy.. not bigger or smaller in size..
Thanks Amazon.. i received this product on Diwali.. So it's best Diwali gift for me..",Anup,8 November 2018,5.0 out of 5 stars
Excellent product ... Battery life sucks,"Awesome phone with all the features... Camera is best in the class both front and rear. Performance is best compared to one plus 6. The only issue I have is a battery life. Though one plus has increased the battery capacity to 3700 may.. it lasts macimum 6-7 hours of average usage.. if u play games continuously for 4 hours the battery is almost dead. One plus this is not really expected from u guys. The only good things here is when put for charging it charges 100% in abt 45-50 min.
Type c to 3.5 mm convertor works fine. The original sound quality is maintained. Overall a perfect buy.",tejaskathane,14 November 2018,5.0 out of 5 stars
Goes loud and long.!,"Okay I'd like to talk about a few things that nobody else is saying. The battery life is excellent for a flagship phone, about 8 hours of SOT which is more than excellent, also the speaker, though single is loud enough for the noisiest of environments. And the people who think that the new fingerprint scanner is too slow, I received a software update as soon I activated the phone, and after I updated the software, fingerprint scanning was a lot snappier.
Overall, great phone in the price range.",Ankit,5 November 2018,5.0 out of 5 stars
Bad service.,"The screen keeps on flickering, defective product delivered. It has not been replaced yet. I had ordered it on the first day.",Jayesh,12 November 2018,1.0 out of 5 stars
Just a Hype!!!,"Things are not the same as promoted, I bought this on 2nd Nov, look wise its good, sound is also loud, its just loud nothin else, battery has just improved marginally if you keep your location on and play some game or video, it will be low very soon. Ofcourse at the end it will hang little longer but not as expected. Display Hangs!! Yes!!! this phone hangs even with 8gb RAM, have faced it few times even in first 10 days. Worst part is the front screen lock is too too slow, even i have to use pin code most of the time. Overall the phone launch was just a hype but the performance is not upto the expectation!!!",Rajesh J.,15 November 2018,2.0 out of 5 stars
Worst camera,Worst camera quality gives colour issues,Mathavan,11 November 2018,1.0 out of 5 stars
Real flagship killer,"After a lot of samsung phones I have shifted in one plus through op3 and after 2 year and 6 month use there isn't a single issue I found in that phone. After a lot drop and marks on body the screen never cracked. Now I am using op6t since 4 days and fully satisfied with best picture quality, look and awesome performance. In one word a complete package and best value for money.",ADARSH KUMAR TIWARI,9 November 2018,5.0 out of 5 stars
Best Phone of 2018,"I got this in pr-ebook offer, delivered in 4 days
Pros:
Great battery life
Blazing fast no one can beat
Real beast
Amazing performance
Premium design
Impressive rear and front camera with great detailing than S9 & I phone Xs max
In display fingerprint scanner is really fast
Cons:
No headphone jack but you'll get a converter
No notification LED
I will give points on my personal experience of 2 days full usage as below:
Weight: 9/10
OS: 10/10
Screen size: 10/10
Display: 9/10
CPU: 10/10
Performance: 10/10
Storage: 10/10 (you'll get approx 113 gb for use)
Battery: 9.5/10
Rear camera: 10/10
Front camera: 10/10
In display fingerprint scanner: 9/10
Face unlock: 9/10
Protection: 8/10 ( IP68 required)
Charging Speed: 9/10
Fully recommended to buy, go for it you will feel the Speed.",ABHISHEK,27 November 2018,5.0 out of 5 stars
Good but not Best,"Pros:
Really high speed mobile
Good memory space upto 120Gb,
On screen fingerprint
Display is impressive
Camera quality is good in days and night but not always
Fast charging
iPhone competetive
Cons:
Price is high(mine is pre-booked, better than now)
Battery could be of higher capacity
FingerPrint not so fast but seems faster than other device on screen finger print reader
No FM Radio
Sometime night mode camera is not working as expected",MOHAMMAD RIZWAAN,9 November 2018,4.0 out of 5 stars
Absolutely the best!,"6t is rightfully the flagship killer and the best phone in the market today. It has the looks, the hardware and the latest software. Enough pros but it has to have some cons. While it's lesser priced for the specs it contains, 38 grand is still a heavy amount. The camera is great but not the best in the market. Need more color variants in India. The fast charging is an absolute delight.",Vijay Senthil,25 November 2018,5.0 out of 5 stars
Lag in finger print sensor n camera,"I think der is no pretty much change in upgrading from OnePlus 6to 6T,but d product is gud if u get used to it.The Indisplay fingerprint sensor is lagging in terms of speed.pictures r good but capturing of image is slow so u may get blurred or shaky images..battery life is good..n sound system is better..hope OnePlus solves d issues in next updates",Rahul Reddy Kandula,15 November 2018,3.0 out of 5 stars
Warning: It's a flagship Killer😍,"I love this phone so much.. Received it yesterday.. Delivery was great.. n I had to exchange my old S6 with this beauty got 4k off.. which I loved.. Thanks Amazon so much..
❤️Loved The new tear drop Notch
❤️ Speed is great
❤️ Battery works for hours.. Screen on time is around 7 hours
❤️Alert slider is good too
❤️Camera Quality is So Clear n perfect.. I don't need a DSLR no more..
❤️ It's big because of it's huge battery so keeps on sliding off my hands but You're getting a cover in box so no worries😍😍 and lacks Audio Jack which is a drawback but Now It's common in all phones so can't complain😂
❤️Wish they provided it with C type earphones but it was not in box
🤩Overall It's a great Deal Go for it..",zainab,20 November 2018,5.0 out of 5 stars
Awesome phone to go with!,"Everything is good! Initially there was a delay while accessing in-display fingerprint. Post update that is also sorted. Cam is super clear!
With 100% usage the backup is up-to 16-18 hours. Oneplus 6 users may not love it as there is no much difference comparatively!
Pre-booking offer should have been wireless rather than a wired headset.",Ali,9 November 2018,5.0 out of 5 stars
Bang for the buck,"Pros:
-Amazing display and screen
-Superb Camera quality
- Butter smooth near stock OS(better than pixel for me)
-Best notch implementation
-Fast charger ,huge battery life and amazing battery optimization
-Sound quality is good
Cons:
-No headphone jack
-No expandable storage
There may be many more cons like no wireless charging and water resistant certification bit wehave to consider its the best we can get at this price point.Hats off Oneplus for this awesome phone and kudos to Amazon for the super fast one day delivery.Peace.",Anand,4 November 2018,5.0 out of 5 stars
A good phone from OnePlus! But ....,"First thing first there is nothing wrong with one plus 6t.The screen is amoled which has good viewing angles.Colours are vibrant and screen brightness is also good.Camera is great but could have been better. Sound quality is good but lack of dual speakers still hurts.Battery backup is improved courtesy the 3700 mAh battery. Snapdragon 845 with oxygen os is an experience of its kind.
Though I have used one plus since their flagship killer one plus one, a customer centric and community driven company is losing its own tagline of Never Settle by trying to settle down with no headphone jack,a camera hardware which remains same since one plus 5,no IP certification,no wireless charging.Above all the all the inflating costs of OnePlus phones when a smartphone with the same processor is being sold at half the price. I hope to see better innovative and original ideas from the OnePlus team in future as still I believe they can do it!",asir,6 November 2018,5.0 out of 5 stars
A Terrific Job OnePlus,"I'm reviewing after about a week of usage. I donno about the previous OnePlus models, I just entered the OnePlus community with the 8 GB +128 GB Version
As far as the mobile goes it's a beast, I'm totally satisfied with the performance of the product
Pros
1. Awesome Processor - Snapdragon 845 at its best, combined with the 8 GB RAM, you experience 0 lag on a perfect WiFi connection
2. Good Daylight Camera, 4K video with 60 fps frame rate felt dang awesome
3. Big Cheers for the near complete Display, OPTIC AMOLED gives a great viewing experience
4. Speakers are loud but having Stereo speakers would have done great to this mobile
5. DASH Charge works great! Speed is what you need
6. The USB-C to 3.5 mm Headphone jack cable is sturdy, I was worried that the earphones piece may fall off but nodes within the jack space save the drop and hold it in place
7. Good Delivery and the Packaging, fell in love with OnePlus
8. InDisplay Fingerprint scanner is awesome. It takes less than half a second to do the job
9. Face unlock is super fast
10. Near Stock Android UI is great..! Oxygen OS simply does a terrific job
11. Teardrop notch is awesome, although I covered the notch area for my notification bar and the blacked out notification bar is great
12. Adding a USB C Hub expands it's functionality, combining with the 6.4 inch screen almost gives a PC like experience
Cons
1. Battery life doesn't seem that great although I'm a kinda heavy user
2. Night camera is bad, My RX 100 mk2 does a great job when compared to this
3. Camera zoom is terrible, I hate that part of the Smartphone camera. Again My RX 100 mk 2 does a great job
4. Implementation of the fingerprint on the power button would have been good, take a note OnePlus
5. Adding a display that supports 4K would have been a great thing, of miss 4K videos on YouTube
6. Next time release Gaming phones with add-ons like 120 fps display, 4k display and a gaming chip
Overall it's a beast
I gave my honest opinion",MadooriC Prime,12 November 2018,5.0 out of 5 stars
Two days usage of Oneplus 6t,"Well just received it one day back.
Experience is smooth. Software update is very frequently. Got two update since now.
On screen fingerprint scanner improved from last update i guess.
Camera is super good, but need more software update for portrait mode and nigh mode. Its looks like they changed the name of hdr mode to night mode. Nigh mode is useless.
Face unlock is really good. Sound is also really good, didn't test the earphone. For normal users the battery will last almost 36hrs with dual 4g on. Dash charger is charging it really quickly. Still testing.",Subrata Debanth,7 November 2018,5.0 out of 5 stars
Bubble inside the screen,From the day of item got delivered there was bubble inside the screen as shown in uploaded pic. Dont know what will be its impact in future. Please suggest if I can replace this mobile with same config.,Ankit Sharma,14 November 2018,1.0 out of 5 stars
Affordable awesomeness,"My last phone was iPhone 6s, and I assumed it would take me a while to get used to the new phone with different Operating system. But it is so amazing and user friendly. I said I love the phone as soon as I started using it. the picture quality is amazing & the voice quality is so much better than iPhone, the speaker is much much better than iPhone and the battery life is the best. In Love with dash Charger. Thank you one plus for making it so affordable and yet so awesome.",Amy Shah,5 November 2018,5.0 out of 5 stars
Really a good phone with a great camera,"Let's first talk about the picture quality of OnePlus 6t ...
The night mode of OnePlus 6t is a really awesome feature
The picture does not blur or crack when we zoom to take a picture I like the most
Sound quality of OnePlus 6t is also really good and about battery life
It's just awesome actually I have charged it only one time from 2days.. for frequent user it can long for two and half day easily.. the battery of OnePlus 6t get fully charged only in 1hr 15-20 minute by the provided amazing dash charger",Mokshada waghamare,6 November 2018,5.0 out of 5 stars
Beast just got better.,Top notch all round performance!!,Amazon Customer,5 November 2018,4.0 out of 5 stars
A flagship phone - One plus 6T 8gb ram 256GB rom.,"I have received the phone on 14th November, 2018.The phone is a real flagship one. It has followed the Google Pixel 2 XL. The camera is awesome. It is excellent in low light condition. The processor is also very fast. I am not a very expert gamer, but after enjoying video etc the batter lasts comfortably more than 24 hours. The finger print authentication is awesome. Face identification is also more or less good. Overall it is an excellent phone and I am really enjoying. Thanks toTeam Amazon for timely delivery.",ABU YOUSUF MD MAHBUIB CHOUDHURY,16 November 2018,5.0 out of 5 stars
Killer phone with dashing design NEVER SETTLE,"~Performance is very good.....
~Killer phone...
~Camera quality is very very nice....
~nigh mode is very good...
~battery back up is also good...
~face unlock is very fast...Quick response
~Almost very good...
~price is very high....but quality is very good...👍",Harsh Panwala,8 November 2018,5.0 out of 5 stars
awesome,Awesome love it 😍🥰🥰😘😘😘😘,Rajesh Kamble,6 November 2018,5.0 out of 5 stars
Very good excellent phone for all needs. Amazon delivery is superb. No doubts go for it.,"Dear friends finally I got very good phone Really superb performance. I am liking battery performance,display, touch( feels like iPhone),superfast, quick finger print scanner, quick face unlock., Sound output). No worry on transferring my files from old phone, one plus switch app. taken care. One word to say is 'awesome'. Also please note that phone comes in silent mode on receipt. The selection switch above the wakeup switch to be used to bring back to normal mode.",Sathish gajapathi,4 November 2018,5.0 out of 5 stars
Awesome phone.....,"First of all thnx Amazon for Fast delivery.
Picture Quality Best.
Sound Quality Best.
Battery life found little bit low.
What I most likely is Face unlock feature it's very fast than finger print.
3.5 mm audio jack is a not issue I think.
Over all I am very happy with this phone",Dr Sachin Sutar,7 November 2018,5.0 out of 5 stars
Best phone produced by OnePlus,"Picture quality is good but pixel has more better camera but still it's very nice portrait mode is good slow mo videos are awesome
Sound quality is good but doesn't have head jack but wireless Bluetooth is supported well
Clear audio recording
Fast charging enable very short duration of charging and long lasting medium use lasts for a day mild use may last for couple of days
Overall it's very nice product compared to pixel n Samsung note 9 n Apple
Though it doesn't have water n dust resistance n wireless charging it's still best mobile phone that OnePlus has produced
Super fast processor smooth running n as of now mobile doesn't get heated even after heavy use but still have to wait n watch
Overall nice mobile best that OnePlus has produced
Don't worry of cost it's absolutely amazing
Worth for the money",Manjunatha,6 November 2018,5.0 out of 5 stars
Go for it ..,"I am happy with the product.. best mobile in this price range.. if you can afford Bluetooth ear phones I highly recommend this phone over one plus 6.. even though there is no changes in the pixels of camera compared to one plus 6, still I can see clear difference between one plus 6 and one plus 6t picture quality.. if you already have one plus 6, don't go for one plus 6t.. The design of one plus 6t is better than one plus 6. I was confused between 6 and 6t, this review may help many other who are in same delimma...",Kunal,11 November 2018,4.0 out of 5 stars
Beautiful phone,"Good build.
amazing battery life. ( Minimum 3 days stand by along with basic use in airtel's 4g network)
good accessories on op site.
cool phone box packing.
in display fingerprint sensor & face recognition both are good.
loudspeaker is decent. has a c type to 3.5mm adapter in the box.
value for money. Go for it!",Anshu K.,8 November 2018,4.0 out of 5 stars
Honest opinions after 20 days of usage.,"One of the best investments I have made so far.
Let's start with the Pros first:-
1) Build Quality:- For 38k the built quality is amazing. You get that premium feel as soon as you hold the phone in your hands.
2) Screen Quality:- The screen quality is good. Better than the IPS LCD displays used on Asus Zenfone 5z. Colours are very punchy and the display is very crisp.
3) Battery Life:- This is the biggest pro of this device. The 3700mah battery lasts easily for one and a half to 2 days on heavy usage. It can easily last for 3 days on medium usage. The best part is that we have the amazing OnePlus Dash charger. It takes 1hr 28mins to charge from 0 to 100%.
4) Oxygen OS:- The Best thing about OnePlus is their fast and fluid UI. It's very close to stock Android which makes the device very snappy. You do not notice any lagg whatsoever.
5) In-display Fingerprint:-The USP of OnePlus 6T. Trust me the the fingerprint is very very fast. You can't compare it with that Vivo device which first came with this technology.
Now the Cons:-
1)No headphone jack:- Not a deal breaker but it might be annoying for people who use wired headphones.
2)No Stereo speakers:- The sound output from the speaker is loud enough but considering the price of this device they should have provided stereo speakers.
3)No LED Notification Light:- I don't understand why they removed it. You have to rely on the ambient display always.
4) Not so good RAM Management:- I think this is a software bug. I have noticed this several times. Apps like YouTube & Instagram does not stay in memory and reloads. This is quite annoying. Hope they fix this with a software update.
5) No Wireless Charging:- They call it ""Flagship killer"" but there's no wireless charging.
6)No IP Protection:- It's the 8th ""FLAGSHIP KILLER"" device from OnePlus but still no IP rating.
Final Verdict:-
If you already have OnePlus 6 or even the 5T, there's no point of upgrading to 6T. Instead you can wait for next 6 months and get your hands on the OnePlus 7. The OnePlus 7 will come with Snapdragon 855 which will have support for 5G. Also we will see improvements in the camera and it might even come with Stereo speakers and an IP rating.
But if you are currently on an old laggy phone with poor UI, battery life, and looking for a premium device but don't want to spend more than 40k, the OnePlus 6T will prove as a very good upgrade.",Shashwat Sharma,26 November 2018,4.0 out of 5 stars
NEVER SETTLE? NOT THIS TIME. [MOST DETAILED REVIEW],"The most COMPLETE and HONEST review :-
This phone is OUTSTANDING! Mostly in a really good sense, ALTHOUGH somewhere we HAVE TO SETTLE.
CONS (Ranked) -
1. NO STEREO SPEAKERS , although single mono speaker is good.
2. HEADPHONE AUDIO OUTPUT (c type / 3.5 mm / whatever) is ABOVE AVERAGE, but should have been better with greater bass and more fuller ambient sound like LG G7 ThinQ etc. I'll update my review about the Cirrus Logic DAC and Oneplus C type Bullets later.
3. Camera depends upon good lighting conditions. TOO MUCH CROP IN FRONT CAMERA VIDEO DUE TO EIS. BLUR IN NIGHTSCAPE, ESPECIALLY IF THERE'S MOVEMENT IN FRAME. Wide angle camera should have been a must.
4. Fingerprint scanner is like 90% hit and 10% miss. For 97% hit and 3% miss, INPUT SAME FINGER TWICE OR THRICE. PROPER PLACEMENT OF FINGER ON SCANNER is IMPORTANT. However it's SUFFICIENTLY FAST. Placement should have been upper on the screen.
5. NO NOTIFICATION LED. SCREEN OFF GESTURES (like O for camera) are HITS AND MISSES OCCASIONALLY.
P. S. NO HEADPHONE JACK, NO QHD RESOLUTION and NO WIRELESS CHARGING are NOT CONS, atleast for me.
PROS (Ranked) -
1. The very BEST SOFTWARE, UI, PERFORMANCE. (CLEAN, FAST AND SMOOTH). MANY CUSTOMISATIONS. BETTER THAN STOCK ANDROID.
2. INNOVATIVE TECHNOLOGY and DESIGN like in display fingerprint scanner, cute waterdrop notch etc.
3. PREMIUM AND DURABLE BUILD QUALITY. UNOFFICIALLY WATERPROOF.
4. GREAT BATTERY life AND DASH CHARGING.
5. Great screen.
6. Camera can compete with PIXEL 3.
7. GREAT VALUE for the price. However, COULD BE of GREATER VALUE. COMPETITION - LG G7 ThinQ, Asus Zenfone 5Z, iPhone 6S plus, etc.
P. S. You'll read many PROS in official reviews in the internet, YouTube etc..
All in all, the phone and the brand DESERVES YOUR ATTENTION.
4.5 OUT OF 5 - ABHISHEK CHAKRAVORTY",Abhishek Chakravorty,4 November 2018,5.0 out of 5 stars
This is a Beast with a cute notch!,"A Perfect Value for money phone.
128GB ROM and 8GB RAM and a Superfast OS and a Butter smooth User Interface!
What more do you want? Amazon delivered it in 2days to me. I am super happy with this device!
The phone gives you a premium feel when you hold it. I was an apple fan. But Oneplus rules my heart now.
3.5mm Headphone Jack missing but they have also provided the Dongle along. You can't really complain because instead, now they have increased the battery.",Dibyodak Mitra,14 November 2018,5.0 out of 5 stars
Oneplus 6t Review: Trust me 😉,"Picture quality is not up to the mark (7/10)
But one of the best quality mobile is it's performance.
Finger print sensor need some more updates.
I just seen few of the reviews below that ppl are complaining about the display, but I totally disagree with those folks. I'm very much attracted for one plus 6t bcoz of it's AMOLED display more than the onscreen fingerprint. Trust me display quality is flawless.
Overall, worth buying it.",Sanjeev,8 November 2018,5.0 out of 5 stars
Awesome Smartphone from OnePlus,"REVIEW after using 7 days.
I bought Midnight Black with 8GB RAM + 256GB Storage.
1. It's a truly Premium smartphone
2. OnePlus has excellent service n support
3. No heating
4. Excellent camera quality.
5. Battery Backup is excellent. On screen display is almost 7 hours in my case.
6. Luv the Amoled display
7. Superfast Dash Charger
8. Sound is also loud
Overall I will rate it 5 out of 5.
Thanks Guys... :)",Gaurab Chakraborty,8 November 2018,5.0 out of 5 stars
"The one who says Never Settle,Can make you settle with this phone.Go for OnePlus","One of the best Android phone in market,if you want to get a premium phone with all necessary requirements,you should go for OnePlus 6T.First time I bought a phone worth 38k and the money worth it. The phone look is so aesthetic, completely wow and the water drop notch,may be you can find that in Vivo or Oppo as well,but I can tell you,you will find this better,a compact look.Joining the OnePlus Community is one of the best decision you can take,and I believe from Next OnePlus Flagships,the price will go higher,so unlock the speed and experience the best now.
Things that I loved about it-
Phone Performance
Phone look-Sleek and Handy
Dash charge
Storage
A great Display
Watching HD videos is a privilege in it
Portrait mode rear and front both
Good packaging
Alert slider
Video Quality
Things that can be improvised-
Night mode camera optimization,it is making the picture litte whitish.
Selfie in low light and front flash.
Indisplay firgerprint sensor is little slow.
No sensor light in front,hard to find whether it's charging or not.",Sarmistha,4 November 2018,5.0 out of 5 stars
Great phone with minor glitches.,"After using it for a Week.
Pros:
1) Phone's battery life is great, lasts more than a day, using it across different Wi-Fi, Mobile networks, Calling, Surfing, Watching videos ... Still the battery holds good.
2). Sound quality is good.
3) Default back case that comes with box is good.
4) Camera quality is good not that great!
Cons:
1) In-Display finger print scanner stops working randomly, I have to lock and unlock the phone again to make it works.
2) The amount of time taken to unlock the phone via Fingerprint scanner lags sometimes but it works well most of the time.
3) Night sight mode needs to be improved. The images taken with low lighting is not that great. Looks Ok Ok.",Amazon Customer,9 November 2018,5.0 out of 5 stars
This phone is legendary,"I had bought this phone is expecting above average performance,camera quality,battery etc. But I was so amused when all these categories were much much, much above my expectations. Thank you one plus for this legendary phone!!!!!",EIN.G.T,7 November 2018,5.0 out of 5 stars
"Product is awesome just one thing, Effects while cliking from camera like in other phones","Product is awesome . camera is jst speechlessly awesome but one thing is lacking behind that is Not having effects while cliking from camera like do have in other one plus phones. Rest all is nice to use , fingerprint is lil less smartly active in compare to Face recognition(its superb). No regrets after buying One plus 6t",sonam thakur,5 November 2018,4.0 out of 5 stars
Not a flagship anymore,"Upgraded from 6 to 6t
My one line review - "" I will pick 6 anytime over 6t""
Some Important Points :
On Screen fingerprint sensor is fast but of course not that past as physical fingerprint sensor
Camera there is no change except the so called NIGHTSCAPE and if you are expecting it to be like one in pixel let me tell you that is a complete no
Algorithms of both the phones are different for low light photos and one used in one plus is bit shaggy .
It basically illuminates the light sources present in the photo and spread it evenly over the entire click
Screen is good , notch is better than that old notch
Battery is average , though they have increased the capacity but i dont see major differences in screen on time . Dash charge though is the best thing about one plus
Overall Review : A power packed phone with good build and performance but now doesnt look like a flagship nor even a flagship killer",Sarthak Dhingra,9 November 2018,4.0 out of 5 stars
Spectacular. But...,"Been using since 3 days. This mobile is very awesome. But.... The finger print sensor is not as satisfying compared to the normal ones. It takes some time, but in only micro seconds. The face unlock is awesome, even at dim lighting.",Amazon Customer,14 November 2018,4.0 out of 5 stars
KADAK,Great phone. Fastest phone in the world. Also great features looks style display n overall performance,Abhushek S Gaikwad,6 November 2018,5.0 out of 5 stars
Speed wise good but lack of some features which are avilable in low budget products,"After using 15 days these are my observations.
Speed wise it is very good as it have 8GB Ram with Snapdragon processor. Look wise its very nice and design and quality of the material is good. When come to Fingerprint the animations are looking fabulous while unlocking but some times not capturing for 2 or 3 sec then giving no detected message. Need improvement there. Coming to camera need more improvements overall. The one option I am regret is clicking picture only by using the capture button. As my moto g2 have full screen capture option and g4 have fingerprint to click option with screen. But here we don't have any fingerprint option also so sometimes while taking selfies for large group its very difficult to capture using the only button. Same time by using earphones also we are not able to capture images. Need software improvement there.
Coming to calls while taking with earphones we are unable to mute the call by using earphones. Which is there for my all previous phones which are very low budget ones. While taking client calls it is making very uncomfortable because I am used to earphone play/pause button to mute the call.
Coming to network while in call the internet or messages option is not working. Internet usage my be restricted while in call but the messages option need to be improved. Because in some urgent call if some one calls we need message them back saying so.
Overall its good to use but need some really cool improvements software wise.",Ganesh Bandi,20 November 2018,4.0 out of 5 stars
