reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
All-arounder Phone at this price range,"All-around phone
Great battery backup
Fast charging
Fully display
Great 👌🏻body finishing",ketan,26 June 2018,5.0 out of 5 stars
Who will provide the service after sales?,"I have purchased Samsung A8+ on 12th Oct and the return window was showing as ""closed 22 Oct 2018"". Yesterday on 23rd (11th day of the purchase), was started not working. I was switched off the mobile while going to a meeting and again switched on after the meeting. Then, the mobile showing- Encryption problem"". I have submitted to the Samsung service centre along with invoices and they told that- ""it may be happen due to the interruption of updates"" and it takes 4-5 days to come to a decision.
I would like to draw your attention that, the phone simply become dead when I switched off.
Since it was purchased ""ONLINE"" through Amazon, who will give the immediate support? The service centre is mentioning the lengthy procedure for which I have no time because I am travelling to Germany and France on 27th Oct. Usually, the return duration shall be one month on Amazon. Why it was closed in 10 days?
It was a new piece and for simple reason, the phone was dead which was a manufacturing defect.
I request you to consider the case and allow us for replacement in a day or two as I am the Prime customer. I have never returned any goods so far.",GOPALA KRISHNA,24 October 2018,1.0 out of 5 stars
Average category except camera,Battery life is less,Karthik,8 August 2018,2.0 out of 5 stars
Best phone ever,Best phone ever.... camera of phone is too good very nice camera quality but proccessor & graphic not so good for the games .. but over are phone are nice in this price 👍,Amazon Customer,17 August 2018,4.0 out of 5 stars
Heat,"mobile gets heat even normal usage like chatting,talking,camera & browsing. Totally worst experience from top brand. amazon not ready to immediate for replacememt they consider mobile temperature more than 45 c only. But now im facing 40 c eventhough this much of heat they are not ready to listen customer concern.",Shridhara S B,12 October 2018,1.0 out of 5 stars
Great prodect,"Its a great phone from samsung.
I always prrfer A8 plus for gamers,mobile photograpers.
The multi tasking feature is superb in this phone.Good sound quality,front cameras also great especially who love selfie.",Varun,6 October 2018,5.0 out of 5 stars
Five Stars,ITS REALLY AMAZING.,subhrabrataroy,21 September 2018,5.0 out of 5 stars
Good phone with High Speed RAM,"I have Orderd this phone in Oct 2018.
Aftet using a few week I m proving my feedback.
1. Phone is nice
2. Great 6GB RAM
3. When you purchased this phone you get Android 7.1 but whan you connect the Internet your Android version will be updated with 8.
4. Camera is not adequate but front camera really awesome.
5. Battery backup Good as compared to other phone.
6. You will also also get Free back cover in your box.
7. Led Notifiaction available
8. Both SIM are 4G and LTE supported means you can use both SIM simultaneously as 4G.
9. Get Blue light filter for youe eyes protection.
10. You can also get PANIC support by pressing 3 button.",Alok kumar,28 October 2018,5.0 out of 5 stars
Below expectations!,"Not up to the expectation since 6gb Rom and 16mp camera...I have to recharge it twice a day for watching online video of approx 1.5hours, using social media(Facebook,Twitter,watsapp) for 1hour, phon calls 5mins and imo call for 45mins.
It stops responding as well.
Picture quality Average
Sound Very low
Performance Hangs
Battery life Average",Navin M.,3 November 2018,3.0 out of 5 stars
A+++,Excellent phone. Fast delivery.,Krishan Bhatia,7 April 2018,5.0 out of 5 stars
All-arounder Phone at this price range,"All-around phone
Great battery backup
Fast charging
Fully display
Great 👌🏻body finishing",ketan,26 June 2018,5.0 out of 5 stars
